contract,trade_date,trade_time_et,fill_price,calendar_dte,collateral,premium_yield,annualized_entry_yield,underlying_at_entry,delta,iv,greeks_status,snapshot_minutes,snapshot_path,evidence
NVDA 2026-08-14 190 Put,2026-07-30,10:08:55,4.17,15,19000.0,0.021947368421052632,0.5340526315789474,195.64675433687745,-0.3457412342159356,0.4289529646375556,Black-Scholes estimate,,,IV solved from fill price; Delta computed from the same model and local underlying snapshot(s).
SPY 2026-08-14 730 Put,2026-07-30,10:07:29,5.73,15,73000.0,0.007849315068493151,0.191,737.2822188024622,-0.35624694692182135,0.1547057181378786,Black-Scholes estimate,,,IV solved from fill price; Delta computed from the same model and local underlying snapshot(s).
NVDA 2026-08-07 195 Put,2026-07-30,10:07:10,4.6,8,19500.0,0.023589743589743587,1.0762820512820512,196.29,-0.44634161,0.42855,observed nearby snapshot,6.4,data/snapshots/2026-07-30/half_hourly-20260730T221334_0800.json,Same contract in the nearest local Moomoo snapshot.
QQQ 2026-08-14 660 Put,2026-07-30,10:06:12,7.06,15,66000.0,0.010696969696969696,0.26029292929292924,679.4299073866816,-0.2855296535109056,0.2771766736421519,Black-Scholes estimate,,,IV solved from fill price; Delta computed from the same model and local underlying snapshot(s).
PLTR 2026-08-07 122 Put,2026-08-03,15:00:35,5.28,4,12200.0,0.043278688524590166,3.9491803278688526,125.52,-0.391420745,1.35864,observed nearby snapshot,-12.983333333333333,data/snapshots/2026-08-04/half_hourly-20260804T024736_0800.json,Same contract in the nearest local Moomoo snapshot.
TSM 2026-08-14 390 Put,2026-08-03,12:37:57,8.46,11,39000.0,0.021692307692307695,0.7197902097902099,,,,unavailable,,,Ticker absent from the local watchlist; no defensible entry spot price.
TSLA 2026-08-21 310 Put,2026-08-03,10:49:53,8.37,18,31000.0,0.026999999999999996,0.5474999999999999,319.0469650655022,-0.36099178483743954,0.45081593527393926,Black-Scholes estimate,,,IV solved from fill price; Delta computed from the same model and local underlying snapshot(s).
MRVL 2026-08-14 172.5 Put,2026-08-03,09:40:11,8.4,11,17250.0,0.04869565217391304,1.6158102766798417,185.4236388508892,-0.31863407159621654,1.1181602421378924,Black-Scholes estimate,,,IV solved from fill price; Delta computed from the same model and local underlying snapshot(s).
SPCX 2026-08-07 103 Put,2026-08-04,10:16:13,3.53,3,10300.0,0.03427184466019417,4.169741100323624,117.77,-0.225444766,2.20826,observed nearby snapshot,2.183333333333333,data/snapshots/2026-08-04/half_hourly-20260804T221824_0800.json,Same contract in the nearest local Moomoo snapshot.
SPCX 2026-08-14 100 Put,2026-08-05,09:31:26,3.99,9,10000.0,0.039900000000000005,1.6181666666666668,112.25,-0.25400434112586145,1.3124199195422506,model range,,,Opening-gap sensitivity using S=$108-$115; nearest post-open S=$112.25.
